date,region,product,category,units,unit_price,revenue,cost,profit,sales_rep
2025-01-03,North,Widget Pro,Hardware,42,149.99,6299.58,3149.79,3149.79,Alice Chen
2025-01-07,South,DataSync,Software,18,299.00,5382.00,1076.40,4305.60,Bob Torres
2025-01-10,East,Widget Pro,Hardware,31,149.99,4649.69,2324.85,2324.85,Carol Smith
2025-01-14,West,CloudStore,Software,55,99.00,5445.00,1089.00,4356.00,David Lee
2025-01-17,North,NanoSensor,Hardware,12,599.00,7188.00,4312.80,2875.20,Alice Chen
2025-01-21,South,Widget Pro,Hardware,67,149.99,10049.33,5024.67,5024.67,Eve Nakamura
2025-01-24,East,DataSync,Software,22,299.00,6578.00,1315.60,5262.40,Bob Torres
2025-01-28,West,NanoSensor,Hardware,8,599.00,4792.00,2875.20,1916.80,Frank Kim
2025-02-04,North,CloudStore,Software,44,99.00,4356.00,871.20,3484.80,Carol Smith
2025-02-07,South,NanoSensor,Hardware,15,599.00,8985.00,5391.00,3594.00,David Lee
2025-02-11,East,Widget Pro,Hardware,58,149.99,8699.42,4349.71,4349.71,Alice Chen
2025-02-14,West,DataSync,Software,30,299.00,8970.00,1794.00,7176.00,Eve Nakamura
2025-02-18,North,Widget Pro,Hardware,49,149.99,7349.51,3674.76,3674.76,Frank Kim
2025-02-21,South,CloudStore,Software,72,99.00,7128.00,1425.60,5702.40,Bob Torres
2025-02-25,East,NanoSensor,Hardware,10,599.00,5990.00,3594.00,2396.00,Carol Smith
2025-03-04,West,Widget Pro,Hardware,83,149.99,12449.17,6224.59,6224.59,David Lee
2025-03-07,North,DataSync,Software,25,299.00,7475.00,1495.00,5980.00,Alice Chen
2025-03-11,South,Widget Pro,Hardware,61,149.99,9149.39,4574.70,4574.70,Eve Nakamura
2025-03-14,East,CloudStore,Software,90,99.00,8910.00,1782.00,7128.00,Frank Kim
2025-03-18,West,NanoSensor,Hardware,20,599.00,11980.00,7188.00,4792.00,Bob Torres
2025-03-21,North,Widget Pro,Hardware,55,149.99,8249.45,4124.73,4124.73,Carol Smith
2025-03-25,South,DataSync,Software,38,299.00,11362.00,2272.40,9089.60,David Lee
2025-03-28,East,Widget Pro,Hardware,44,149.99,6599.56,3299.78,3299.78,Alice Chen
2025-04-03,West,CloudStore,Software,66,99.00,6534.00,1306.80,5227.20,Eve Nakamura
2025-04-08,North,NanoSensor,Hardware,18,599.00,10782.00,6469.20,4312.80,Frank Kim
2025-04-11,South,Widget Pro,Hardware,75,149.99,11249.25,5624.63,5624.63,Bob Torres
2025-04-15,East,DataSync,Software,42,299.00,12558.00,2511.60,10046.40,Carol Smith
